id,class_code,class_name,ddd,u,adm_r,note,valid_start_date,valid_end_date,change_type
1000,A,ALIMENTARY TRACT AND METABOLISM,,,,,1970-01-01,2099-12-31,
1001,A01,STOMATOLOGICAL PREPARATIONS,,,,,1970-01-01,2099-12-31,
1002,A01A,STOMATOLOGICAL PREPARATIONS,,,,,1970-01-01,2099-12-31,
1003,A01AA,Caries prophylactic agents,,,,,1970-01-01,2099-12-31,
1004,A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride,1970-01-01,2099-12-31,
1005,A01AA02,sodium monofluorophosphate,,,,,1970-01-01,2099-12-31,
1006,A01AA03,olaflur,1.1,mg,O,,1970-01-01,2099-12-31,
1007,A01AA04,stannous fluoride,,,,,1970-01-01,2099-12-31,
1008,A01AA30,"caries prophylactic agents, combinations",,,,,1970-01-01,2099-12-31,
1009,A01AA51,"sodium fluoride, combinations",,,,,1970-01-01,2099-12-31,
1010,A01AB,Antiinfectives and antiseptics for local oral treatment,,,O,,1970-01-01,2099-12-31,
1011,A01AB02,hydrogen peroxide,60,mg,O,,1970-01-01,2099-12-31,
1012,A01AB03,chlorhexidine,30,mg,O,,1970-01-01,2099-12-31,
1013,A01AB04,amphotericin B,40,mg,O,,1970-01-01,2099-12-31,
1014,A01AB05,polynoxylin,0.18,g,O,,1970-01-01,2099-12-31,
1015,A01AB06,domiphen,3,mg,O,,1970-01-01,2099-12-31,
1016,A01AB07,oxyquinoline,80,mg,O,,1970-01-01,2099-12-31,
1017,A01AB08,neomycin,,,,,1970-01-01,2099-12-31,
1018,A01AB09,miconazole,0.2,g,O,,1970-01-01,2099-12-31,
1019,A01AB10,natamycin,20,mg,O,,1970-01-01,2099-12-31,
1020,A01AB11,"antiinfectives and antiseptics for local oral treatment, various",,,,,1970-01-01,2099-12-31,
1021,A01AB12,hexetidine,,,,,1970-01-01,2099-12-31,
1022,A01AB13,tetracycline,,,,,1970-01-01,2099-12-31,
1023,A01AB14,benzoxonium chloride,,,,,1970-01-01,2099-12-31,
1024,A01AB15,tibezonium iodide,,,,,1970-01-01,2099-12-31,
1025,A01AB16,mepartricin,,,,,1970-01-01,2099-12-31,
1026,A01AB17,metronidazole,,,,,1970-01-01,2099-12-31,
1027,A01AB18,clotrimazole,,,,,1970-01-01,2099-12-31,
